id,author,created_at,last_modified,downloads,likes,tags,description,url,languages,tasks,size_categories
google/svq,google,2025-05-12 19:53:36+00:00,2025-07-07 19:09:55+00:00,542,18,"['task_categories:question-answering', 'task_categories:automatic-speech-recognition', 'language:ar', 'language:bn', 'language:en', 'language:fi', 'language:gu', 'language:hi', 'language:id', 'language:ja', 'language:kn', 'language:ko', 'language:ml', 'language:mr', 'language:ru', 'language:sw', 'language:ta', 'language:te', 'language:ur', 'license:cc-by-4.0', 'size_categories:100K<n<1M', 'region:us']","
	
		
		Simple Voice Questions
	

Simple Voice Questions (SVQ) is a set of short audio questions recorded in 26 locales across 17 languages under multiple audio conditions.

	
		
		Data Collection
	

Speakers were presented with recording instructions specifying the recording environment and text query to be recorded.
They recorded using their own phones or tablets under four conditions:

clean: Record in quiet environment
background speech noise: Record while audio from sources like podcasts… See the full description on the dataset page: https://huggingface.co/datasets/google/svq.",https://huggingface.co/datasets/google/svq,"['ar', 'bn', 'en', 'fi', 'gu', 'hi', 'id', 'ja', 'kn', 'ko', 'ml', 'mr', 'ru', 'sw', 'ta', 'te', 'ur']","['question-answering', 'automatic-speech-recognition']",['100K<n<1M']
amphion/Emilia-Dataset,amphion,2024-08-23 08:25:08+00:00,2025-02-28 05:41:37+00:00,68505,385,"['task_categories:text-to-speech', 'task_categories:automatic-speech-recognition', 'language:zh', 'language:en', 'language:ja', 'language:fr', 'language:de', 'language:ko', 'license:cc-by-4.0', 'size_categories:10M<n<100M', 'format:webdataset', 'modality:audio', 'modality:text', 'library:datasets', 'library:webdataset', 'library:mlcroissant', 'arxiv:2407.05361', 'arxiv:2501.15907', 'region:us']","
	
		
		Emilia: An Extensive, Multilingual, and Diverse Speech Dataset for Large-Scale Speech Generation
	


This is the official repository 👑 for the Emilia dataset and the source code for the Emilia-Pipe speech data preprocessing pipeline. 



	
		
		News 🔥
	


2025/02/26: The Emilia-Large dataset, featuring over 200,000 hours of data, is now available!!! Emilia-Large combines the original 101k-hour Emilia dataset (licensed under CC BY-NC 4.0) with the brand-new 114k-hour Emilia-YODAS… See the full description on the dataset page: https://huggingface.co/datasets/amphion/Emilia-Dataset.",https://huggingface.co/datasets/amphion/Emilia-Dataset,"['zh', 'en', 'ja', 'fr', 'de', 'ko']","['text-to-speech', 'automatic-speech-recognition']",['10M<n<100M']
ronantakizawa/japanese-text-difficulty,ronantakizawa,2025-10-02 03:03:18+00:00,2025-10-05 05:08:18+00:00,79,4,"['task_categories:text-classification', 'language:ja', 'license:mit', 'size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'japanese', 'text-difficulty', 'language-learning', 'linguistics', 'aozora-bunko', 'educational', 'curriculum-design']","
	
		
		Aozora Text Difficulty Dataset
	

This dataset contains Japanese literary texts from the Aozora Bunko digital library, enhanced with jReadability-based difficulty analysis for Japanese language learning and curriculum development.

	
		
		Dataset Overview
	


Source: Aozora Bunko (青空文庫) - Japan's premier digital library of public domain literature
Enhancement: jReadability-based difficulty scoring using research-backed Japanese readability models
Primary Methodology: jReadability - A… See the full description on the dataset page: https://huggingface.co/datasets/ronantakizawa/japanese-text-difficulty.",https://huggingface.co/datasets/ronantakizawa/japanese-text-difficulty,['ja'],['text-classification'],['1K<n<10K']
Aratako/LiquidAI-Hackathon-Tokyo-CPT-Data,Aratako,2025-10-12 01:30:20+00:00,2025-10-12 04:14:09+00:00,10,3,"['task_categories:automatic-speech-recognition', 'task_categories:text-to-speech', 'task_categories:audio-to-audio', 'language:ja', 'language:en', 'license:cc-by-nc-4.0', 'size_categories:1M<n<10M', 'format:parquet', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		LiquidAI-Hackathon-Tokyo-CPT-Data
	

Liquid AI Hackathon Tokyoで作成したモデルのCPTに利用したデータセットです。
",https://huggingface.co/datasets/Aratako/LiquidAI-Hackathon-Tokyo-CPT-Data,"['ja', 'en']","['automatic-speech-recognition', 'text-to-speech', 'audio-to-audio']",['1M<n<10M']
speechbrain/common_language,speechbrain,2022-03-02 23:29:22+00:00,2023-06-12 13:29:01+00:00,1139,38,"['task_categories:audio-classification', 'task_ids:speaker-identification', 'annotations_creators:crowdsourced', 'language_creators:crowdsourced', 'multilinguality:multilingual', 'source_datasets:extended|common_voice', 'language:ar', 'language:br', 'language:ca', 'language:cnh', 'language:cs', 'language:cv', 'language:cy', 'language:de', 'language:dv', 'language:el', 'language:en', 'language:eo', 'language:es', 'language:et', 'language:eu', 'language:fa', 'language:fr', 'language:fy', 'language:ia', 'language:id', 'language:it', 'language:ja', 'language:ka', 'language:kab', 'language:ky', 'language:lv', 'language:mn', 'language:mt', 'language:nl', 'language:pl', 'language:pt', 'language:rm', 'language:ro', 'language:ru', 'language:rw', 'language:sah', 'language:sl', 'language:sv', 'language:ta', 'language:tr', 'language:tt', 'language:uk', 'language:zh', 'license:cc-by-4.0', 'size_categories:100K<n<1M', 'region:us']","This dataset is composed of speech recordings from languages that were carefully selected from the CommonVoice database.
The total duration of audio recordings is 45.1 hours (i.e., 1 hour of material for each language).
The dataset has been extracted from CommonVoice to train language-id systems.",https://huggingface.co/datasets/speechbrain/common_language,"['ar', 'br', 'ca', 'cnh', 'cs', 'cv', 'cy', 'de', 'dv', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fr', 'fy', 'ia', 'id', 'it', 'ja', 'ka', 'kab', 'ky', 'lv', 'mn', 'mt', 'nl', 'pl', 'pt', 'rm', 'ro', 'ru', 'rw', 'sah', 'sl', 'sv', 'ta', 'tr', 'tt', 'uk', 'zh']",['audio-classification'],['100K<n<1M']
NilanE/ParallelFiction-Ja_En-100k,NilanE,2024-03-25 23:41:17+00:00,2024-06-02 18:03:38+00:00,109,73,"['task_categories:translation', 'language:ja', 'language:en', 'license:apache-2.0', 'size_categories:100K<n<1M', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Dataset details:
	

Each entry in this dataset is a sentence-aligned Japanese web novel chapter and English fan translation.
The intended use-case is for document translation tasks.

	
		
		Dataset format:
	

{
    'src': 'JAPANESE WEB NOVEL CHAPTER',
    'trg': 'CORRESPONDING ENGLISH TRANSLATION',
    'meta': {
        'general': {
            'series_title_eng': 'ENGLISH SERIES TITLE',
            'series_title_jap': 'JAPANESE SERIES TITLE',
            'sentence_alignment_score':… See the full description on the dataset page: https://huggingface.co/datasets/NilanE/ParallelFiction-Ja_En-100k.",https://huggingface.co/datasets/NilanE/ParallelFiction-Ja_En-100k,"['ja', 'en']",['translation'],['100K<n<1M']
llm-jp/ja-vg-vqa-conversation,llm-jp,2024-10-22 06:14:02+00:00,2024-11-19 10:55:53+00:00,36,3,"['task_categories:visual-question-answering', 'language:ja', 'size_categories:10K<n<100K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Dataset Card for ja-vg-vqa-conversation
	


	
		
		Dataset details
	

This dataset consists of multiple QA pairs from Japanese Visual Genome VQA dataset that have been converted into multi-turn conversations.
The prompt 語句または短い文で答えてください。 has been appended to the questions in the first turn.
We excluded the samples from the JA-VG-VQA-500 dataset, resulting in a total of 98,708 samples.

	
		
	
	
		License
	

Creative Commons Attribution 4.0 License
",https://huggingface.co/datasets/llm-jp/ja-vg-vqa-conversation,['ja'],['visual-question-answering'],['10K<n<100K']
DataPilot/Zero_SFT_Ja_v3.5,DataPilot,2025-05-24 07:34:41+00:00,2025-06-02 14:07:45+00:00,20,3,"['task_categories:question-answering', 'language:ja', 'license:odc-by', 'size_categories:100K<n<1M', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'arxiv:2502.01697', 'region:us']","
	
		
		📦 Zero_SFT_Ja_v3.5
	


	
		
		🧭 イントロダクション
	

Zero_SFT_Ja_v3.5 は、Base-Refine（BARE）手法により構築された、108,000 件の日本語指示応答データセットです。以下の複数モデルを段階的に組み合わせることで、高い多様性と品質を両立しています：

🧠 質問生成: Sarashina2-70B
🎛 多様性フィルタリング: intfloat/multilingual-e5-large
🔐 内容フィルタリング: Microsoft Phi-4
📝 回答生成: Qwen3-235B-A22B



	
		
		🔍 データセットの特徴
	


	
		
🧩 特性
🔢 値


		
件数
108,000


言語
日本語


生成方式
BARE（二段階合成 + 多段階フィルタリング）


Q&A 生成モデル
Sarashina2-70B（質問）、Qwen3-235B-A22B（回答）


フィルタリング
Multilingual-E5-Large（類似度）、Phi-4（内容安全）… See the full description on the dataset page: https://huggingface.co/datasets/DataPilot/Zero_SFT_Ja_v3.5.",https://huggingface.co/datasets/DataPilot/Zero_SFT_Ja_v3.5,['ja'],['question-answering'],['100K<n<1M']
kokuren/inmQA_ja_9.315k,kokuren,2025-10-12 04:53:55+00:00,2025-10-12 04:59:37+00:00,4,2,"['task_categories:question-answering', 'language:ja', 'license:apache-2.0', 'size_categories:1K<n<10K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","くさい子
",https://huggingface.co/datasets/kokuren/inmQA_ja_9.315k,['ja'],['question-answering'],['1K<n<10K']
IWSLT/iwslt2017,IWSLT,2022-03-02 23:29:22+00:00,2023-04-05 10:07:51+00:00,5540,37,"['task_categories:translation', 'annotations_creators:crowdsourced', 'language_creators:expert-generated', 'multilinguality:translation', 'source_datasets:original', 'language:ar', 'language:de', 'language:en', 'language:fr', 'language:it', 'language:ja', 'language:ko', 'language:nl', 'language:ro', 'language:zh', 'license:cc-by-nc-nd-4.0', 'size_categories:1M<n<10M', 'region:us']","The IWSLT 2017 Multilingual Task addresses text translation, including zero-shot translation, with a single MT system across all directions including English, German, Dutch, Italian and Romanian. As unofficial task, conventional bilingual text translation is offered between English and Arabic, French, Japanese, Chinese, German and Korean.",https://huggingface.co/datasets/IWSLT/iwslt2017,"['ar', 'de', 'en', 'fr', 'it', 'ja', 'ko', 'nl', 'ro', 'zh']",['translation'],['1M<n<10M']
